gameId,userColor,moveNumber,san,sacrifice,sacSquare,playedEval,evalLoss,quietAlt,margin,shape,accepted,admitted,fresh,standing,rejectedBy,label
167665587100,b,12,Qd7,1,f6,-122,354,232,-354,discovered,false,allow,3,0.2,sound,0
167665587100,b,14,Bxb4,3.2,b4,-136,311,175,-311,direct,false,offer,0,1,sound,0
167665587100,b,15,a6,0,,-218,460,242,-460,direct,false,allow,0,3.2,sound,0
167665587100,b,22,Rxb7,-5,,112,26,-127,239,direct,true,allow,3.2,1,,0
167632259622,w,16,Nd7,3,d7,-721,256,-465,-256,direct,true,offer,0,0,sound,0
167632259622,w,31,Qxf4,6,f4,-802,55,,,direct,false,offer,0,1,sound,0
167600947810,w,10,cxb4,-3.2,,742,60,802,-60,direct,true,allow,3,0,necessary,0
167600947810,w,27,Bxd7,3,a6,1490,98450,99940,-98450,discovered,false,offer,0,0,strong,0
167600947810,w,28,Qxd7,-4,g2,99980,-10,99970,10,discovered,true,allow,0,3,necessary,0
167600947810,w,30,Qb8+,0,,99990,-10,99980,10,direct,true,allow,3,0,necessary,0
167596582136,w,6,Nxd5,3,d5,-389,503,114,-503,direct,true,offer,0,0,sound,0
167596582136,w,8,Qb4,5.8,b4,-628,780,152,-780,direct,true,offer,0,0,sound,0
167596582136,w,14,Nxf6+,3,f6,-650,198,-452,-198,direct,true,offer,0,0,sound,0
167592608124,b,15,Nxc5,3,c5,286,258,544,-258,direct,true,offer,0,0,strong,0
167574638516,b,7,Nd7,3.2,g4,-544,357,-187,-357,discovered,true,offer,0,0,sound,0
167574638516,b,17,Rad8,0,,-208,38,-170,-38,direct,true,allow,2,0,sound,0
167548050708,w,17,Qe4,0,,260,186,446,-186,direct,false,allow,3.2,0,strong,0
167498789498,b,15,Nd2+,3,d2,296,529,803,-507,direct,true,offer,0,0,strong,0
167402263214,w,7,f3,0,,207,70,277,-70,direct,false,allow,5,0,necessary,0
167354727806,b,8,Qxh2,9,h2,-239,1041,802,-1041,direct,true,offer,0,0,sound,0
167354727806,b,13,d5,1,d5,-382,482,100,-482,direct,true,allow,3,0,sound,0
167354727806,b,16,Rb8,5,b8,-636,402,-234,-402,direct,true,offer,0,0,sound,0
167354727806,b,17,Bd5,2.2,d5,-852,202,-650,-202,direct,true,offer,0,0,sound,0
167354727806,b,18,Nxd5,3,d5,-979,90,-889,-90,direct,true,offer,1,0,sound,0
